player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0024,P0076,1,1,0,0,6,4,1,0,2005-s3
P0068,P0076,1,1,0,0,6,4,1,0,2005-s3
P0063,P0076,1,1,0,0,6,4,1,0,2005-s3
P0004,P0024,1,1,0,0,6,4,1,0,2005-s3
P0004,P0068,1,1,0,0,6,4,1,0,2005-s3
P0004,P0142,1,1,0,0,9,1,1,0,2005-s3
P0024,P0068,1,0,0,1,5,5,1,0,2005-s3
P0024,P0142,1,0,1,0,3,7,1,0,2005-s3
P0024,P0063,1,1,0,0,6,4,1,0,2005-s3
P0068,P0142,1,0,1,0,4,6,1,0,2005-s3
P0063,P0068,1,1,0,0,6,4,1,0,2005-s3
P0025,P0084,1,0,0,1,5,5,1,0,2005-s3
P0001,P0084,1,1,0,0,10,0,1,0,2005-s3
P0009,P0062,1,0,1,0,3,7,1,0,2005-s3
P0009,P0017,1,0,1,0,3,7,1,0,2005-s3
P0001,P0009,1,1,0,0,8,2,1,0,2005-s3
P0017,P0062,1,1,0,0,6,4,1,0,2005-s3
P0025,P0062,1,0,1,0,4,6,1,0,2005-s3
P0030,P0062,1,0,1,0,4,6,1,0,2005-s3
P0001,P0062,1,1,0,0,6,4,1,0,2005-s3
P0017,P0025,1,1,0,0,8,2,1,0,2005-s3
P0017,P0030,1,1,0,0,6,4,1,0,2005-s3
